,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
92,Kevin Schade,de GER,"FW,MF",21-330,5.0,3,257.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,3.0,9.0,18.0,0.35,0.0,0.35,0.35,0.35,0.25,0.15,0.4,0.25,0.4,Matches,brentford,
93,Mads Roerslev,dk DEN,DF,24-121,7.0,2,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,9.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.1,0.01,0.1,Matches,brentford,
94,Keane Lewis-Potter,eng ENG,FW,22-243,6.0,2,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,12.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.39,0.05,0.43,0.39,0.43,Matches,brentford,
95,Ben Mee,eng ENG,DF,34-032,2.0,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,brentford,
96,Frank Onyeka,ng NGA,MF,25-295,7.0,1,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.4,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.19,0.38,0.57,0.19,0.57,Matches,brentford,
97,Neal Maupay,fr FRA,FW,27-070,4.0,1,143.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,2.0,3.0,10.0,0.0,0.63,0.63,0.0,0.63,0.69,0.06,0.75,0.69,0.75,Matches,brentford,
98,Thomas Strakosha,al ALB,GK,28-218,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brentford,
99,Saman Ghoddos,ir IRN,"DF,MF",30-047,4.0,0,55.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,4.0,7.0,2.0,1.64,0.0,1.64,1.64,1.64,0.17,0.54,0.7,0.17,0.7,Matches,brentford,
100,Mikkel Damsgaard,dk DEN,"MF,FW",23-112,2.0,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,brentford,
101,Shandon Baptiste,gd GRN,MF,25-198,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brentford,
102,Michael Olakigbe,eng ENG,"FW,MF",19-181,4.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches,brentford,
103,Yehor Yarmoliuk,ua UKR,MF,19-236,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,brentford,
104,Josh Dasilva,eng ENG,MF,25-000,1.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brentford,
105,Mathias Jørgensen,dk DEN,DF,33-183,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,4.48,0.0,4.48,Matches,brentford,
106,Ellery Balcombe,eng ENG,GK,24-008,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,brentford,
107,Ethan Brierley,eng ENG,MF,19-334,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,brentford,
108,Kim Jisoo,kr KOR,DF,18-303,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,brentford,
109,Lewis Dunk,eng ENG,DF,31-336,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.1,1.4,16.0,52.0,3.0,0.11,0.0,0.11,0.11,0.11,0.14,0.01,0.16,0.14,0.16,Matches,brighton,
110,Kaoru Mitoma,jp JPN,FW,26-156,9.0,8,755.0,8.4,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,2.4,2.4,1.5,3.9,54.0,19.0,100.0,0.36,0.36,0.72,0.36,0.72,0.29,0.18,0.46,0.29,0.46,Matches,brighton,
111,Pascal Groß,de GER,MF,32-130,7.0,7,618.0,6.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,1.1,2.3,10.0,53.0,31.0,0.29,0.0,0.29,0.29,0.29,0.18,0.16,0.34,0.18,0.34,Matches,brighton,
112,Solly March,eng ENG,"FW,DF",29-095,7.0,7,554.0,6.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.9,14.0,24.0,44.0,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,Matches,brighton,
113,Danny Welbeck,eng ENG,"FW,MF",32-331,8.0,7,408.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.3,1.4,8.0,11.0,21.0,0.22,0.0,0.22,0.22,0.22,0.24,0.06,0.3,0.24,0.3,Matches,brighton,
114,Pervis Estupiñán,ec ECU,DF,25-275,6.0,6,495.0,5.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,2.8,3.6,22.0,41.0,36.0,0.18,0.55,0.73,0.18,0.73,0.16,0.5,0.66,0.16,0.66,Matches,brighton,
115,Joël Veltman,nl NED,DF,31-281,9.0,5,560.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.4,6.0,21.0,11.0,0.0,0.16,0.16,0.0,0.16,0.01,0.06,0.07,0.01,0.07,Matches,brighton,
116,Billy Gilmour,sct SCO,MF,22-134,8.0,5,461.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.5,1.7,7.0,39.0,10.0,0.0,0.2,0.2,0.0,0.2,0.05,0.29,0.34,0.05,0.34,Matches,brighton,
117,Jason Steele,eng ENG,GK,33-066,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brighton,
118,Evan Ferguson,ie IRL,FW,19-004,9.0,5,437.0,4.9,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.5,2.5,0.4,2.9,6.0,8.0,14.0,0.82,0.0,0.82,0.82,0.82,0.52,0.08,0.6,0.52,0.6,Matches,brighton,
119,João Pedro,br BRA,"MF,FW",22-027,9.0,4,481.0,5.3,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.6,1.8,1.3,3.1,18.0,18.0,40.0,0.37,0.19,0.56,0.19,0.37,0.48,0.24,0.72,0.33,0.57,Matches,brighton,
120,Simon Adingra,ci CIV,"FW,MF",21-295,8.0,4,417.0,4.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,2.1,10.0,5.0,31.0,0.43,0.22,0.65,0.43,0.65,0.16,0.28,0.44,0.16,0.44,Matches,brighton,
121,Bart Verbruggen,nl NED,GK,21-066,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brighton,
122,Adam Webster,eng ENG,DF,28-292,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,brighton,
123,James Milner,eng ENG,DF,37-292,6.0,4,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,brighton,
124,Jan Paul van Hecke,nl NED,DF,23-137,5.0,3,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,brighton,
125,Mahmoud Dahoud,de GER,MF,27-295,5.0,3,246.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.4,0.0,7.0,2.0,0.0,0.37,0.37,0.0,0.37,0.03,0.14,0.16,0.03,0.16,Matches,brighton,
126,Carlos Baleba,cm CMR,MF,19-293,4.0,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,brighton,
127,Igor,br BRA,DF,25-258,2.0,2,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,brighton,
128,Tariq Lamptey,gh GHA,"DF,FW",23-023,4.0,1,139.0,1.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,11.0,6.0,3.0,0.0,1.29,1.29,0.0,1.29,0.01,0.25,0.26,0.01,0.26,Matches,brighton,
129,Adam Lallana,eng ENG,"MF,FW",35-166,4.0,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,brighton,
130,Jack Hinshelwood,eng ENG,MF,18-195,1.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,brighton,
131,Julio César Enciso,py PAR,MF,19-273,2.0,1,69.0,0.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,5.0,0.0,5.0,0.0,2.61,2.61,0.0,2.61,0.26,0.96,1.22,0.26,1.22,Matches,brighton,
132,Facundo Buonanotte,ar ARG,FW,18-304,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,brighton,
133,Ansu Fati,es ESP,"MF,FW",20-357,5.0,0,144.0,1.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.4,2.4,6.0,14.0,7.0,1.25,0.0,1.25,1.25,1.25,1.24,0.22,1.46,1.24,1.46,Matches,brighton,
134,Steven Alzate,co COL,MF,25-045,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,brighton,
135,James Trafford,eng ENG,GK,21-013,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,burnley,
136,Josh Cullen,ie IRL,MF,27-199,9.0,9,780.0,8.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.6,0.7,5.0,38.0,9.0,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.08,0.01,0.08,Matches,burnley,
137,Ameen Al-Dakhil,be BEL,DF,21-231,9.0,9,765.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,burnley,
138,Connor Roberts,wls WAL,DF,28-030,9.0,8,734.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.2,0.2,6.0,37.0,10.0,0.0,0.12,0.12,0.0,0.12,0.0,0.02,0.02,0.0,0.02,Matches,burnley,
139,Zeki Amdouni,ch SUI,"FW,MF",22-323,8.0,8,538.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.3,1.8,14.0,14.0,14.0,0.17,0.0,0.17,0.17,0.17,0.25,0.05,0.3,0.25,0.3,Matches,burnley,
140,Lyle Foster,za RSA,"FW,MF",23-050,7.0,7,607.0,6.7,3.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,1.6,1.6,1.2,2.7,18.0,7.0,29.0,0.44,0.3,0.74,0.44,0.74,0.23,0.17,0.4,0.23,0.4,Matches,burnley,
141,Sander Berge,no NOR,MF,25-251,9.0,7,579.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,9.0,16.0,15.0,0.0,0.16,0.16,0.0,0.16,0.05,0.09,0.14,0.05,0.14,Matches,burnley,
142,Luca Koleosho,it ITA,"FW,MF",19-038,9.0,7,547.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.1,2.3,34.0,11.0,49.0,0.0,0.16,0.16,0.0,0.16,0.21,0.18,0.39,0.21,0.39,Matches,burnley,
143,Charlie Taylor,eng ENG,DF,30-035,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,burnley,
144,Jordan Beyer,de GER,DF,23-157,6.0,6,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,burnley,
145,Josh Brownhill,eng ENG,MF,27-308,8.0,5,516.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.7,1.2,4.0,15.0,9.0,0.17,0.0,0.17,0.17,0.17,0.08,0.12,0.21,0.08,0.21,Matches,burnley,
146,Dara O'Shea,ie IRL,DF,24-233,5.0,4,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,burnley,
147,Jóhann Berg Guðmundsson,is ISL,"FW,MF",32-361,4.0,3,171.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,2.0,13.0,11.0,0.0,0.53,0.53,0.0,0.53,0.0,0.12,0.12,0.0,0.12,Matches,burnley,
148,Hannes Delcroix,be BEL,DF,24-237,6.0,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.19,0.13,0.19,Matches,burnley,
149,Mike Trésor,be BEL,FW,24-148,4.0,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,8.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.17,0.11,0.28,0.17,0.28,Matches,burnley,
150,Aaron Ramsey,eng ENG,"FW,MF",20-275,5.0,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17,0.2,0.02,0.2,Matches,burnley,
151,Vitinho,br BRA,DF,24-092,3.0,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches,burnley,
152,Wilson Odobert,fr FRA,FW,18-329,3.0,2,147.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,0.0,8.0,0.61,0.0,0.61,0.61,0.61,0.15,0.26,0.42,0.15,0.42,Matches,burnley,
153,Benson Manuel,be BEL,"MF,FW",26-209,3.0,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,burnley,
154,Jacob Bruun Larsen,dk DEN,"FW,MF",25-034,8.0,0,156.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,10.0,3.0,17.0,0.58,0.0,0.58,0.58,0.58,0.26,0.06,0.32,0.26,0.32,Matches,burnley,
155,Jay Rodriguez,eng ENG,FW,34-086,4.0,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71,Matches,burnley,
156,Nathan Redmond,eng ENG,"MF,FW",29-231,4.0,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,burnley,
157,Anass Zaroury,ma MAR,"FW,MF",22-350,3.0,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.26,0.2,0.26,Matches,burnley,
158,Jack Cork,eng ENG,MF,34-120,1.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,burnley,
159,Hjalmar Ekdal,se SWE,DF,25-002,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,burnley,
160,Arijanet Muric,xk KVX,GK,24-350,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,burnley,
161,Robert Sánchez,es ESP,GK,25-339,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chelsea,
162,Thiago Silva,br BRA,DF,39-031,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,chelsea,
163,Levi Colwill,eng ENG,DF,20-239,9.0,9,799.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,10.0,27.0,16.0,0.0,0.11,0.11,0.0,0.11,0.09,0.1,0.19,0.09,0.19,Matches,chelsea,
164,Enzo Fernández,ar ARG,MF,22-279,9.0,9,776.0,8.6,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.3,1.5,1.1,2.6,24.0,87.0,24.0,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.39,0.17,0.3,Matches,chelsea,
165,Conor Gallagher,eng ENG,MF,23-259,9.0,9,765.0,8.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.0,1.7,15.0,47.0,28.0,0.0,0.24,0.24,0.0,0.24,0.08,0.12,0.2,0.08,0.2,Matches,chelsea,
166,Axel Disasi,fr FRA,DF,25-226,8.0,8,720.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,1.0,6.0,35.0,6.0,0.12,0.0,0.12,0.12,0.12,0.1,0.03,0.12,0.1,0.12,Matches,chelsea,
167,Raheem Sterling,eng ENG,"FW,MF",28-319,9.0,8,720.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,1.2,3.6,50.0,28.0,99.0,0.37,0.0,0.37,0.37,0.37,0.3,0.15,0.45,0.3,0.45,Matches,chelsea,
168,Nicolas Jackson,sn SEN,FW,22-125,8.0,6,579.0,6.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,4.1,4.1,0.5,4.6,17.0,10.0,49.0,0.31,0.0,0.31,0.31,0.31,0.64,0.08,0.72,0.64,0.72,Matches,chelsea,
169,Moisés Caicedo,ec ECU,MF,21-355,7.0,6,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,4.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,chelsea,
170,Malo Gusto,fr FRA,DF,20-157,7.0,6,500.0,5.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.6,0.7,26.0,23.0,38.0,0.0,0.36,0.36,0.0,0.36,0.02,0.1,0.12,0.02,0.12,Matches,chelsea,
171,Ben Chilwell,eng ENG,"DF,MF",26-306,6.0,4,336.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.8,2.8,12.0,10.0,23.0,0.0,0.27,0.27,0.0,0.27,0.26,0.49,0.74,0.26,0.74,Matches,chelsea,
172,Mykhailo Mudryk,ua UKR,"FW,DF",22-291,8.0,4,309.0,3.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.6,16.0,6.0,22.0,0.58,0.0,0.58,0.58,0.58,0.21,0.24,0.46,0.21,0.46,Matches,chelsea,
173,Cole Palmer,eng ENG,"FW,MF",21-170,6.0,3,325.0,3.6,2.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.3,0.7,1.0,1.7,16.0,25.0,23.0,0.55,0.28,0.83,0.0,0.28,0.64,0.27,0.91,0.2,0.47,Matches,chelsea,
174,Marc Cucurella,es ESP,DF,25-093,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,chelsea,
175,Carney Chukwuemeka,eng ENG,MF,20-003,2.0,2,125.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,2.0,4.0,9.0,0.72,0.0,0.72,0.72,0.72,0.08,0.09,0.16,0.08,0.16,Matches,chelsea,
176,Armando Broja,al ALB,FW,22-043,3.0,2,121.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,4.0,2.0,9.0,0.74,0.0,0.74,0.74,0.74,0.4,0.0,0.4,0.4,0.4,Matches,chelsea,
177,Lesley Ugochukwu,fr FRA,MF,19-211,5.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,chelsea,
178,Reece James,eng ENG,"DF,FW",23-319,2.0,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,5.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.32,0.04,0.32,Matches,chelsea,
179,Ian Maatsen,nl NED,"FW,MF",21-227,6.0,0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.42,0.1,0.52,0.42,0.52,Matches,chelsea,
180,Noni Madueke,eng ENG,"FW,MF",21-227,4.0,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,chelsea,
181,Mason Burstow,eng ENG,FW,20-080,2.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chelsea,
182,Alex Matos,eng ENG,MF,19-020,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chelsea,
183,Benoît Badiashile,fr FRA,DF,22-211,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
184,Eddie Beach,wls WAL,GK,20-014,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
185,Lucas Bergström,fi FIN,GK,21-048,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
186,Joshua Brooking,eng ENG,DF,21-052,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
187,Alfie Gilchrist,eng ENG,DF,19-329,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
188,Bashir Humphreys,eng ENG,DF,20-222,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
189,Diego Moreira,pt POR,MF,19-078,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
190,Đorđe Petrović,rs SRB,GK,24-015,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
191,Andrey Santos,br BRA,MF,19-173,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,chelsea,
